,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-4,1545,1548,2132.2,2119.966566838856,48.933732644574775,0.005737469825130681,2020-08-31 13:00:00,2020-08-31 13:15:00,0 days 00:15:00
1,4,2027,2066,2124.1,2139.43315280461,61.332611218440434,0.007218658634061459,2020-09-09 09:25:00,2020-09-09 12:40:00,0 days 03:15:00
2,-4,3751,3756,2231.95,2245.8921955437904,-55.768782175162414,-0.006246643313600586,2020-10-13 09:20:00,2020-10-13 09:45:00,0 days 00:25:00
3,5,7063,7064,1994.8,1981.778415003004,-65.10792498497949,-0.006527764686683368,2020-12-16 09:20:00,2020-12-16 09:25:00,0 days 00:05:00
4,5,7282,7283,1983.7,1989.3903523539377,28.451761769688346,0.0028685548993989674,2020-12-18 15:05:00,2020-12-18 15:10:00,0 days 00:05:00
5,-4,8867,8881,2007.85,2023.649483958423,-63.1979358336921,-0.00786885671659876,2021-01-20 09:30:00,2021-01-20 10:40:00,0 days 01:10:00
6,4,10290,10305,2072.0,2056.8436269078243,-60.62549236870291,-0.007314851878463147,2021-02-17 09:20:00,2021-02-17 10:35:00,0 days 01:15:00
7,4,11462,11475,2194.2,2178.250620479196,-63.79751808321453,-0.007268881378545089,2021-03-12 09:20:00,2021-03-12 10:25:00,0 days 01:05:00
8,4,13712,13717,2034.65,2015.3170420291974,-77.33183188321073,-0.009501859273488122,2021-04-29 09:20:00,2021-04-29 09:45:00,0 days 00:25:00
9,4,16042,16089,2224.0,2242.2733239636073,73.09329585442902,0.008216422645506816,2021-06-14 09:45:00,2021-06-14 13:40:00,0 days 03:55:00
